NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASEMENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
FLATLANDS,02 TWO FAMILY DWELLINGS,1,7872,58,,B9,1646 E 48TH ST,,11234,2,0,2,"2,000","1,566",1955,1,B9,"6,35,000",08/02/21
FLATLANDS,03 THREE FAMILY DWELLINGS,1,7806,46,,C0,1006 EAST 59TH STREET,,11234,3,0,3,"2,117","3,021",1965,1,C0,"8,17,500",23/12/20
FLATLANDS,03 THREE FAMILY DWELLINGS,1,7806,59,,C0,1050 EAST 59TH STREET,,11234,3,0,3,"2,200","3,342",1965,1,C0,"9,55,000",11/01/21
FLATLANDS,03 THREE FAMILY DWELLINGS,1,7806,151,,C0,1020 EAST 59TH STREET,,11234,3,0,3,"2,200","3,314",1965,1,C0,"8,60,000",12/02/21
FLATLANDS,03 THREE FAMILY DWELLINGS,1,7807,56,,C0,2024 RALPH AVENUE,,11234,3,0,3,"2,950","3,454",1975,1,C0,"12,00,000",09/06/21
FLATLANDS,07 RENTALS - WALKUP APARTMENTS,2A,7753,21,,C3,1223 E 49TH ST,,11234,4,0,4,"5,000","2,700",1930,2,C3,"2,43,125",09/04/21
FLATLANDS,22 STORE BUILDINGS,4,7798,9,,K1,N/A AVENUE K,,11234,0,1,1,"6,383","3,363",2020,4,K1,"26,67,939",04/02/21
FLATLANDS,22 STORE BUILDINGS,4,7798,109,,K1,N/A UTICA AVENUE,,11234,0,1,1,"4,588","3,976",2020,4,K1,"26,67,939",04/02/21
FLATLANDS,22 STORE BUILDINGS,4,7868,13,,K4,2057 FLATBUSH AVENUE,,11234,0,2,2,"1,600","2,240",1931,4,K4,"6,30,000",12/05/21
FLATLANDS,27 FACTORIES,4,7797,66,,F5,1860 UTICA AVE,,11234,0,2,2,"5,000","5,000",1964,4,F5,"18,50,000",08/07/21
FLATLANDS,30 WAREHOUSES,4,7870,7,,E9,4501 AVENUE N,,11234,2,1,3,"8,000","11,000",1938,4,E9,"24,65,000",12/11/20
FLATLANDS,31 COMMERCIAL VACANT LAND,4,7762,1,,V1,N/A FLATLANDS AVENUE,,11234,0,0,0,"6,720",0,2021,4,V1,"31,84,314",04/02/21
FORT GREENE,01 ONE FAMILY DWELLINGS,1,1958,23,,A4,62 GREENE AVENUE,,11238,1,0,1,"2,000","3,840",1899,1,A4,"22,00,000",22/01/21
FORT GREENE,01 ONE FAMILY DWELLINGS,1,2073,4,,A4,193 CARLTON AVENUE,,11205,1,0,1,"2,100","3,381",1905,1,A4,"38,50,000",30/12/20
FORT GREENE,01 ONE FAMILY DWELLINGS,1,2089,21,,A5,191 WASHINGTON PARK,,11205,1,0,1,"2,000","3,837",1930,1,A5,"46,00,000",29/04/21
FORT GREENE,01 ONE FAMILY DWELLINGS,1,2096,41,,A5,22 ST FELIX STREET,,11217,1,0,1,"1,188","1,884",2015,1,A5,"26,82,500",22/06/21
FORT GREENE,01 ONE FAMILY DWELLINGS,1,2121,44,,A4,71 GREENE AVENUE,,11238,1,0,1,"1,530","3,592",2017,1,A4,"39,00,000",30/10/20
FORT GREENE,02 TWO FAMILY DWELLINGS,1,1957,41,,B3,404 ADELPHI,,11238,2,0,2,"1,850","2,268",1901,1,B3,"17,50,000",06/04/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,1959,41,,B1,374 VANDERBILT AVENUE,,11238,2,0,2,945,"3,648",1899,1,B1,"39,00,000",08/06/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,1959,44,,B3,382 VANDERBILT AVENUE,,11238,2,0,2,"2,000","3,672",1899,1,B3,"43,00,000",26/08/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,1959,53,,B3,400 VANDERBILT AVENUE,,11238,2,0,2,"1,867","3,336",1899,1,B3,"26,95,000",09/02/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2005,35,,B3,139 SOUTH OXFORD STREET,,11217,2,0,2,"1,760","2,668",1899,1,B3,"35,00,000",12/07/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2046,16,,B9,105 CLERMONT,,11205,2,0,2,"2,000","1,988",1899,1,B9,"12,75,000",30/11/20
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2072,48,,B3,19 WILLOUGHBY AVENUE,,11205,2,0,2,"1,336","2,880",1899,1,B3,"25,00,000",10/03/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2089,12,,B1,198 WASHINGTON PARK,,11205,2,0,2,"3,300","8,580",1899,1,B1,"16,25,000",29/12/20
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2090,42,,B1,216 ADELPHI STREET,,11205,2,0,2,"2,000","3,600",1931,1,B1,"31,50,000",24/11/20
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2090,44,,B9,220 ADELPHI STREET,,11205,2,0,2,"2,000","2,427",1901,1,B9,"31,50,000",26/07/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2097,24,,B3,23 ST FELIX STREET,,11217,2,0,2,"1,417","3,000",1900,1,B3,"35,25,000",06/07/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2099,6,,B3,65 SOUTH ELLIOTT PLACE,,11217,2,0,2,"2,000","3,750",1899,1,B3,"50,30,000",14/09/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2099,25,,B3,31 SOUTH ELLIOTT PLACE,,11217,2,0,2,"1,667","2,880",1899,1,B3,"39,75,000",15/07/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2099,50,,B1,16 SOUTH PORTLAND AVE,,11217,2,0,2,"2,000","3,760",1901,1,B1,"39,50,000",20/01/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2099,74,,B3,64 SOUTH PORTLAND AVE,,11217,2,0,2,"2,000","3,700",1901,1,B3,"32,95,000",15/07/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2104,23,,B3,275 ADELPHI STREET,,11205,2,0,2,"1,980","3,280",1899,1,B3,"48,00,000",19/07/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2104,47,,B1,314 CLERMONT AVENUE,,11205,2,0,2,"1,467","3,442",1930,1,B1,"36,50,000",05/03/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2105,40,,B1,282 VANDERBILT AVENUE,,11205,2,0,2,"1,750","3,388",1899,1,B1,"29,50,000",02/03/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2112,18,,B3,111 ST FELIX STREET,,11217,2,0,2,"1,330","2,660",1901,1,B3,"30,50,000",28/01/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2112,34,,B1,96 FORT GREENE PLACE,,11217,2,0,2,"1,842","3,578",1899,1,B1,"45,25,000",27/04/21
FORT GREENE,02 TWO FAMILY DWELLINGS,1,2112,52,,B1,132 FORT GREENE PLACE,,11217,2,0,2,"1,700","3,440",1899,1,B1,"43,15,000",27/08/21
